Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.7197046,0.7318885,0.79742247,0.7079844,0.69488907,0.80074626,0.7806774,0.6986928,0.7840089,0.7062187
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.8008485,0.89395416,0.87789726,0.8674609,0.84804416,0.8729749,0.89619374,0.7771128,0.8988259,0.8962312
Global_F1,0.5220461,0.5559936,0.5703749,0.5420496,0.5315301,0.5694258,0.57181305,0.5077713,0.57524055,0.5478459
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.8698579,0.92150986,0.900369,0.9380328,0.9239427,0.85432816,0.94564867,0.86698526,0.9377432,0.9621165
Recall_dash,0.8242381,0.9511441,0.92743605,0.89912003,0.87669903,0.967801,0.9241227,0.7862044,0.94571614,0.91376746
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recall_turn,0.7602837,0.6944771,0.7734375,0.7556615,0.75195533,0.7068511,0.79886365,0.76521116,0.80045354,0.80325204
F1_dash,0.8464337,0.9360925,0.91370213,0.9181644,0.89970106,0.90753126,0.93476176,0.8246212,0.9417128,0.9373189
Precision_turn,0.68323773,0.7735602,0.8229426,0.6659664,0.6458733,0.9234079,0.7633008,0.6428142,0.7682263,0.63010204
