Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.5394341,0.52238804,0.5321684,0.63848144,0.6039526,0.56998557,0.5961538,0.58004636,0.52568495,0.507569
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.798641,0.86753774,0.84641635,0.89067525,0.86495924,0.8406029,0.87449116,0.8567493,0.8525155,0.8593605
F1_turn-,0.037037034,0.04878049,0.0,0.0,0.0,0.0,0.07207207,0.047058824,0.06666666,0.03846154
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.8604196,0.8862677,0.8789925,0.8985656,0.87710524,0.8552837,0.8966395,0.8771242,0.8765464,0.8758956
Recall_turn+,0.5391095,0.42168674,0.4665738,0.5218618,0.49546045,0.46470588,0.5206107,0.48387095,0.43732193,0.39748955
Recall_turn-,0.020408163,0.025641026,0.0,0.0,0.0,0.0,0.03773585,0.027777778,0.036144577,0.02
Precision_turn+,0.53975904,0.6862745,0.61922365,0.82222223,0.77327937,0.7369403,0.6973415,0.7239382,0.6587983,0.70197046
Precision_turn-,0.2,0.5,0.0,0.0,0.0,0.0,0.8,0.15384616,0.42857143,0.5
Global_F1,0.36308134,0.37388512,0.36068165,0.393768,0.38100886,0.3685558,0.39928645,0.38559908,0.37692654,0.36620837
Recall_dash,0.89185274,0.9658999,0.9444755,0.977976,0.9674891,0.959136,0.9636115,0.956931,0.95775837,0.9661304
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1_dash,0.8758542,0.92437196,0.91055816,0.93659055,0.9200828,0.9042377,0.92892,0.9152912,0.91535455,0.91880286
