Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn,0.8022988,0.6980482,0.78099936,0.7535735,0.72919977,0.78534037,0.7644231,0.742767,0.8423841,0.8030199
F1_kick,0.0,0.0,0.0,0.0,0.0,0.19354838,0.13333333,0.0,0.16666667,0.29999998
Classification_Accuracy,0.9168743,0.8779004,0.91695106,0.8989435,0.87543654,0.9024891,0.9093171,0.88429755,0.9407305,0.931418
Global_F1,0.584083,0.5410313,0.5769369,0.56364614,0.54979116,0.6391416,0.6141161,0.55642915,0.658138,0.68744963
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.13636364,0.16666667,0.0,0.1764706,0.5
Precision_dash,0.92952275,0.962822,0.9518072,0.969327,0.95049506,0.9433795,0.96410257,0.9576864,0.95760596,0.9501661
Recall_dash,0.971296,0.89012176,0.94782364,0.9074435,0.89172715,0.933742,0.925855,0.8973189,0.973247,0.9686706
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.33333334,0.11111111,0.0,0.15789473,0.21428572
Recall_turn,0.7513455,0.819407,0.7814815,0.86710525,0.81036514,0.8055854,0.8357425,0.8335301,0.8101911,0.7627119
F1_dash,0.94995034,0.9250457,0.9498113,0.937365,0.92017376,0.93853605,0.9445918,0.92652047,0.96536314,0.9593291
Precision_turn,0.86066586,0.608,0.7805179,0.6663296,0.6628131,0.76608783,0.70431894,0.66982925,0.8772414,0.84782606
